device id,location,workshop id,gesture,lon,lat,timestamp
13,1,2,4,-0.0131336,51.518622,12:06:08
1,1,2,4,-0.0133527,51.5185397,12:06:00
12,1,2,2,-0.0134004,51.5185038,12:06:04
20,1,2,2,-0.0134554,51.5187589,12:06:04
4,1,2,2,-0.0133901,51.5185032,12:06:04
11,1,2,2,-0.0133574,51.5184858,12:06:08
9,1,2,2,-0.01341407,51.51855937,12:06:12
5,1,2,2,-0.0132741,51.5183992,12:06:17
3,1,2,3,#N/A,#N/A,#N/A
13,2,2,3,#N/A,#N/A,#N/A
1,2,2,5,-0.0133876,51.5185352,12:13:34
12,2,2,3,#N/A,#N/A,#N/A
20,2,2,3,#N/A,#N/A,#N/A
4,2,2,5,-0.0104439,51.5177124,12:12:59
11,2,2,2,-0.0104709,51.5176784,12:13:15
9,2,2,4,-0.0103815,51.51769288,12:13:13
5,2,2,4,-0.0101703,51.5174345,12:13:14
3,2,2,4,-0.010415,51.5176835,12:13:13
13,3,2,3,#N/A,#N/A,#N/A
1,3,2,5,-0.0133876,51.5185352,12:17:37
12,3,2,4,-0.0099342,51.5163336,12:17:33
20,3,2,4,-0.0100167,51.5163065,12:17:37
4,3,2,3,#N/A,#N/A,#N/A
11,3,2,4,-0.0098454,51.516272,12:17:32
9,3,2,4,-0.00990975,51.51631634,12:17:38
5,3,2,2,-0.0097981,51.5163263,12:17:49
3,3,2,4,-0.0098054,51.5162324,12:17:37
13,4,2,3,#N/A,#N/A,#N/A
1,4,2,5,-0.0133876,51.5185352,12:21:02
12,4,2,3,#N/A,#N/A,#N/A
20,4,2,4,-0.0101733,51.5163755,12:21:05
4,4,2,4,-0.0092277,51.5155041,12:21:12
11,4,2,3,#N/A,#N/A,#N/A
9,4,2,3,#N/A,#N/A,#N/A
5,4,2,3,#N/A,#N/A,#N/A
3,4,2,5,-0.0092431,51.5154975,12:21:17
13,5,2,3,#N/A,#N/A,#N/A
1,5,2,4,-0.0093606,51.5155598,12:25:26
12,5,2,4,-0.0111559,51.5157219,12:25:34
20,5,2,3,#N/A,#N/A,#N/A
4,5,2,5,-0.0113218,51.5157149,12:25:40
11,5,2,3,#N/A,#N/A,#N/A
9,5,2,3,#N/A,#N/A,#N/A
5,5,2,3,#N/A,#N/A,#N/A
3,5,2,4,-0.0112362,51.5157844,12:25:38
13,6,2,3,#N/A,#N/A,#N/A
1,6,2,4,-0.0112841,51.5159793,12:30:46
12,6,2,4,-0.0131985,51.5172567,12:30:42
20,6,2,4,-0.0124412,51.5167063,12:30:35
4,6,2,3,#N/A,#N/A,#N/A
11,6,2,3,#N/A,#N/A,#N/A
9,6,2,4,-0.01325712,51.51740904,12:30:35
5,6,2,4,-0.013256,51.5173546,12:30:42
3,6,2,4,-0.0132546,51.517355,12:30:43